15:19:17 Price=180045 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=109 OFI1s=0,677 TradeRate=91,0
15:19:17 Price=180040 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=85 OFI1s=0,459 TradeRate=102,0
15:19:17 Price=180040 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=85 OFI1s=0,459 TradeRate=102,0
15:19:17 Price=180040 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=85 OFI1s=0,459 TradeRate=102,0
15:19:18 Price=180040 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=77 OFI1s=0,320 TradeRate=129,0
15:19:18 Price=180040 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=77 OFI1s=0,320 TradeRate=129,0
15:19:18 Price=180040 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=77 OFI1s=0,320 TradeRate=129,0
15:19:18 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=71 OFI1s=0,287 TradeRate=131,0
15:19:19 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-25 OFI1s=-0,197 TradeRate=55,0
15:19:19 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-25 OFI1s=-0,200 TradeRate=51,0
15:19:19 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-25 OFI1s=-0,200 TradeRate=51,0
15:19:19 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-25 OFI1s=-0,200 TradeRate=51,0
15:19:20 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-2 OFI1s=-1,000 TradeRate=12,0
15:19:20 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-2 OFI1s=-1,000 TradeRate=12,0
15:19:20 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-2 OFI1s=-1,000 TradeRate=11,0
15:19:20 Price=180040 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=4 OFI1s=0,500 TradeRate=19,0
15:19:20 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=14 OFI1s=0,700 TradeRate=36,0
15:19:20 Price=180035 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=14 OFI1s=0,700 TradeRate=35,0
15:19:21 Price=180045 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=302 OFI1s=0,899 TradeRate=113,0
15:19:21 Price=180045 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=302 OFI1s=0,899 TradeRate=113,0
15:19:21 Price=180045 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=302 OFI1s=0,899 TradeRate=113,0
15:19:21 Price=180045 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=303 OFI1s=0,904 TradeRate=110,0
15:19:21 Price=180045 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=303 OFI1s=0,904 TradeRate=110,0
15:19:21 Price=180045 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=303 OFI1s=0,904 TradeRate=110,0
15:19:22 Price=180055 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=8 OFI1s=1,000 TradeRate=9,0
15:19:22 Price=180055 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=8 OFI1s=1,000 TradeRate=9,0
15:19:22 Price=180055 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=8 OFI1s=1,000 TradeRate=9,0
15:19:22 Price=180050 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=8 OFI1s=1,000 TradeRate=8,0
15:19:23 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=163 OFI1s=0,706 TradeRate=148,0
15:19:23 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=90 OFI1s=0,421 TradeRate=145,0
15:19:23 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=90 OFI1s=0,421 TradeRate=145,0
15:19:23 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=86 OFI1s=0,413 TradeRate=137,0
15:19:24 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=61 OFI1s=0,480 TradeRate=110,0
15:19:24 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=61 OFI1s=0,480 TradeRate=110,0
15:19:24 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=61 OFI1s=0,480 TradeRate=108,0
15:19:24 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=55 OFI1s=0,455 TradeRate=103,0
15:19:25 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=30 OFI1s=0,789 TradeRate=34,0
15:19:25 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=30 OFI1s=0,789 TradeRate=34,0
15:19:25 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=30 OFI1s=0,789 TradeRate=34,0
15:19:25 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=30 OFI1s=0,789 TradeRate=34,0
15:19:25 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=29 OFI1s=0,784 TradeRate=33,0
15:19:25 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=29 OFI1s=0,784 TradeRate=33,0
15:19:26 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=0 OFI1s=0,000 TradeRate=4,0
15:19:26 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=0 OFI1s=0,000 TradeRate=0,0
15:19:27 Price=180075 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=949 OFI1s=0,705 TradeRate=500,0
15:19:27 Price=180075 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=949 OFI1s=0,705 TradeRate=500,0
15:19:27 Price=180075 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=953 OFI1s=0,705 TradeRate=509,0
15:19:27 Price=180070 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=977 OFI1s=0,734 TradeRate=504,0
15:19:28 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=993 OFI1s=0,774 TradeRate=492,0
15:19:28 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=993 OFI1s=0,774 TradeRate=492,0
15:19:28 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=993 OFI1s=0,774 TradeRate=492,0
15:19:28 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=993 OFI1s=0,774 TradeRate=493,0
15:19:29 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=172 OFI1s=0,945 TradeRate=73,0
15:19:29 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=172 OFI1s=0,945 TradeRate=72,0
15:19:29 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=172 OFI1s=0,945 TradeRate=72,0
15:19:29 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=159 OFI1s=0,941 TradeRate=69,0
15:19:30 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-10 OFI1s=-1,000 TradeRate=12,0
15:19:30 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-10 OFI1s=-1,000 TradeRate=12,0
15:19:30 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-10 OFI1s=-1,000 TradeRate=12,0
15:19:30 Price=180060 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-21 OFI1s=-0,236 TradeRate=47,0
15:19:31 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-25 OFI1s=-0,385 TradeRate=28,0
15:19:31 Price=180065 Bid=0 Ask=0 BidVol1=0 AskVol1=0 Imb=0,000 Delta1s=-25 OFI1s=-0,385 TradeRate=28,0
